Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Grant,65-69,"3,469","1,765","1,704",,,,,,,,,,,,,,,,,,
Grant,70-74,"2,383","1,169","1,214",,,,,,,,,,,,,,,,,,
Grant,75-79,"1,982",953,"1,029",,,,,,,,,,,,,,,,,,
Grant,80-84,"1,409",630,779,,,,,,,,,,,,,,,,,,
Grant,85+,"1,288",476,812,,,,,,,,,,,,,,,,,,
Grant,Total,"89,120","45,420","43,700",,,,,,,,,,,,,,,,,,
Grays Harbor,0-4,"4,260","2,136","2,124",,,,,,,,,,,,,,,,,,
Grays Harbor,5-9,"4,141","2,073","2,068",,,,,,,,,,,,,,,,,,
Grays Harbor,10-14,"4,493","2,304","2,189",,,,,,,,,,,,,,,,,,
Grays Harbor,15-19,"4,770","2,499","2,271",,,,,,,,,,,,,,,,,,
Grays Harbor,20-24,"4,312","2,364","1,948",,,,,,,,,,,,,,,,,,
Grays Harbor,25-29,"4,294","2,347","1,947",,,,,,,,,,,,,,,,,,
Grays Harbor,30-34,"4,266","2,361","1,905",,,,,,,,,,,,,,,,,,
Grays Harbor,35-39,"4,216","2,296","1,920",,,,,,,,,,,,,,,,,,
Grays Harbor,40-44,"4,390","2,354","2,036",,,,,,,,,,,,,,,,,,
Grays Harbor,45-49,"5,176","2,682","2,494",,,,,,,,,,,,,,,,,,
Grays Harbor,50-54,"5,707","2,879","2,828",,,,,,,,,,,,,,,,,,
Grays Harbor,55-59,"5,634","2,842","2,792",,,,,,,,,,,,,,,,,,
Grays Harbor,60-64,"5,289","2,607","2,682",,,,,,,,,,,,,,,,,,
Grays Harbor,65-69,"3,933","2,020","1,913",,,,,,,,,,,,,,,,,,
Grays Harbor,70-74,"2,936","1,443","1,493",,,,,,,,,,,,,,,,,,
Grays Harbor,75-79,"2,022",975,"1,047",,,,,,,,,,,,,,,,,,
Grays Harbor,80-84,"1,509",628,881,,,,,,,,,,,,,,,,,,
Grays Harbor,85+,"1,449",547,902,,,,,,,,,,,,,,,,,,
Grays Harbor,Total,"72,797","37,357","35,440",,,,,,,,,,,,,,,,,,
Island,0-4,"4,542","2,268","2,274",,,,,,,,,,,,,,,,,,
Island,5-9,"4,338","2,274","2,064",,,,,,,,,,,,,,,,,,
Island,10-14,"4,518","2,333","2,185",,,,,,,,,,,,,,,,,,
Island,15-19,"4,615","2,384","2,231",,,,,,,,,,,,,,,,,,
Island,20-24,"5,157","2,901","2,256",,,,,,,,,,,,,,,,,,
Island,25-29,"5,023","2,717","2,306",,,,,,,,,,,,,,,,,,
Island,30-34,"4,121","2,077","2,044",,,,,,,,,,,,,,,,,,
Island,35-39,"4,053","2,026","2,027",,,,,,,,,,,,,,,,,,
Island,40-44,"4,412","2,154","2,258",,,,,,,,,,,,,,,,,,
Island,45-49,"5,251","2,543","2,708",,,,,,,,,,,,,,,,,,
Island,50-54,"5,730","2,646","3,084",,,,,,,,,,,,,,,,,,
Island,55-59,"6,206","2,842","3,364",,,,,,,,,,,,,,,,,,
Island,60-64,"6,101","2,935","3,166",,,,,,,,,,,,,,,,,,
Island,65-69,"4,994","2,360","2,634",,,,,,,,,,,,,,,,,,
Island,70-74,"3,500","1,736","1,764",,,,,,,,,,,,,,,,,,
Island,75-79,"2,475","1,205","1,270",,,,,,,,,,,,,,,,,,
Island,80-84,"1,718",788,930,,,,,,,,,,,,,,,,,,
Island,85+,"1,752",668,"1,084",,,,,,,,,,,,,,,,,,
Island,Total,"78,506","38,857","39,649",,,,,,,,,,,,,,,,,,
Jefferson,0-4,"1,068",554,514,,,,,,,,,,,,,,,,,,
Jefferson,5-9,"1,127",556,571,,,,,,,,,,,,,,,,,,
Jefferson,10-14,"1,367",694,673,,,,,,,,,,,,,,,,,,
